index,Importance of being seen as masculine,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men have more support from their managers,None of the Above,Other
252,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
253,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
254,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
257,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
258,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
261,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
263,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
264,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
265,2,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
266,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
268,3,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
271,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
272,3,Not selected,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
273,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
274,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
276,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
279,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
280,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
282,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
283,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
284,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
287,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
288,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
289,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
291,3,Not selected,Not selected,Not selected,Not selected,Men are explicitly praised more often,Not selected,Not selected,Not selected
292,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
293,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
294,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
295,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
298,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
301,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
302,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
305,3,Not selected,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
306,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
307,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
308,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
311,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
316,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
319,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
320,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
323,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
324,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
325,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
331,3,Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
336,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
338,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
340,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
342,2,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Not selected,Not selected,Not selected
345,3,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
346,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
348,1,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
349,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
352,3,Not selected,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
356,3,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
357,3,Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
358,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
361,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
362,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
363,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
364,2,Not selected,Men are taken more seriously,Not selected,Not selected,Men are explicitly praised more often,Not selected,Not selected,Not selected
366,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
367,4,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
368,4,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
370,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
372,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
376,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
377,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
380,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
385,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
388,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
389,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
390,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
391,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
393,3,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
394,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
395,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
399,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
401,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
404,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
405,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
406,2,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
408,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
413,4,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
414,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
415,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
421,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
422,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
425,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
429,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
431,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
432,4,Men make more money,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
436,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
440,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
441,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
444,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
445,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
447,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
448,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
449,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
451,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
452,1,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
453,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Other (please specify)
459,2,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
461,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
462,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
464,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
465,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
466,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
470,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
472,2,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
473,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
475,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
479,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
480,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
481,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
482,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
486,3,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
488,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
489,4,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
493,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
494,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
497,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
499,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
500,3,Men make more money,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
501,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
502,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
505,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
511,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
515,3,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
516,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
517,4,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
519,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
521,3,Not selected,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
524,4,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
526,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
530,1,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
531,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
532,1,Men make more money,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
533,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
534,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
537,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
538,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
542,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
545,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
548,1,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
550,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
551,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
555,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
557,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
