index,variable,value,Selected
571,Managers want to hire and promote women,Not selected,False
572,Managers want to hire and promote women,Not selected,False
573,Managers want to hire and promote women,Not selected,False
574,Managers want to hire and promote women,Not selected,False
575,Managers want to hire and promote women,Not selected,False
576,Managers want to hire and promote women,Not selected,False
583,Managers want to hire and promote women,Managers want to hire and promote women,True
585,Managers want to hire and promote women,Not selected,False
586,Managers want to hire and promote women,Not selected,False
587,Managers want to hire and promote women,Not selected,False
592,Managers want to hire and promote women,Not selected,False
598,Managers want to hire and promote women,Not selected,False
600,Managers want to hire and promote women,Managers want to hire and promote women,True
601,Managers want to hire and promote women,Not selected,False
603,Managers want to hire and promote women,Not selected,False
605,Managers want to hire and promote women,Managers want to hire and promote women,True
613,Managers want to hire and promote women,Not selected,False
614,Managers want to hire and promote women,Not selected,False
616,Managers want to hire and promote women,Not selected,False
619,Managers want to hire and promote women,Not selected,False
624,Managers want to hire and promote women,Not selected,False
632,Managers want to hire and promote women,Not selected,False
633,Managers want to hire and promote women,Not selected,False
634,Managers want to hire and promote women,Not selected,False
637,Managers want to hire and promote women,Not selected,False
638,Managers want to hire and promote women,Not selected,False
643,Managers want to hire and promote women,Not selected,False
644,Managers want to hire and promote women,Not selected,False
646,Managers want to hire and promote women,Not selected,False
647,Managers want to hire and promote women,Not selected,False
649,Managers want to hire and promote women,Not selected,False
651,Managers want to hire and promote women,Managers want to hire and promote women,True
653,Managers want to hire and promote women,Not selected,False
657,Managers want to hire and promote women,Not selected,False
658,Managers want to hire and promote women,Not selected,False
661,Managers want to hire and promote women,Managers want to hire and promote women,True
662,Managers want to hire and promote women,Managers want to hire and promote women,True
663,Managers want to hire and promote women,Not selected,False
666,Managers want to hire and promote women,Not selected,False
667,Managers want to hire and promote women,Not selected,False
670,Managers want to hire and promote women,Not selected,False
674,Managers want to hire and promote women,Not selected,False
675,Managers want to hire and promote women,Not selected,False
676,Managers want to hire and promote women,Not selected,False
677,Managers want to hire and promote women,Not selected,False
678,Managers want to hire and promote women,Not selected,False
679,Managers want to hire and promote women,Not selected,False
680,Managers want to hire and promote women,Not selected,False
682,Managers want to hire and promote women,Not selected,False
683,Managers want to hire and promote women,Not selected,False
684,Managers want to hire and promote women,Not selected,False
686,Managers want to hire and promote women,Managers want to hire and promote women,True
691,Managers want to hire and promote women,Managers want to hire and promote women,True
693,Managers want to hire and promote women,Not selected,False
698,Managers want to hire and promote women,Managers want to hire and promote women,True
702,Managers want to hire and promote women,Managers want to hire and promote women,True
705,Managers want to hire and promote women,Not selected,False
706,Managers want to hire and promote women,Not selected,False
713,Managers want to hire and promote women,Not selected,False
714,Managers want to hire and promote women,Not selected,False
715,Managers want to hire and promote women,Not selected,False
716,Managers want to hire and promote women,Managers want to hire and promote women,True
718,Managers want to hire and promote women,Managers want to hire and promote women,True
721,Managers want to hire and promote women,Not selected,False
723,Managers want to hire and promote women,Not selected,False
724,Managers want to hire and promote women,Not selected,False
726,Managers want to hire and promote women,Not selected,False
730,Managers want to hire and promote women,Managers want to hire and promote women,True
731,Managers want to hire and promote women,Not selected,False
732,Managers want to hire and promote women,Not selected,False
735,Managers want to hire and promote women,Not selected,False
737,Managers want to hire and promote women,Managers want to hire and promote women,True
738,Managers want to hire and promote women,Not selected,False
742,Managers want to hire and promote women,Not selected,False
744,Managers want to hire and promote women,Not selected,False
745,Managers want to hire and promote women,Not selected,False
746,Managers want to hire and promote women,Not selected,False
750,Managers want to hire and promote women,Managers want to hire and promote women,True
751,Managers want to hire and promote women,Not selected,False
752,Managers want to hire and promote women,Not selected,False
754,Managers want to hire and promote women,Not selected,False
755,Managers want to hire and promote women,Not selected,False
759,Managers want to hire and promote women,Not selected,False
762,Managers want to hire and promote women,Not selected,False
763,Managers want to hire and promote women,Not selected,False
764,Managers want to hire and promote women,Not selected,False
768,Managers want to hire and promote women,Managers want to hire and promote women,True
769,Managers want to hire and promote women,Not selected,False
770,Managers want to hire and promote women,Managers want to hire and promote women,True
771,Managers want to hire and promote women,Not selected,False
772,Managers want to hire and promote women,Not selected,False
773,Managers want to hire and promote women,Managers want to hire and promote women,True
774,Managers want to hire and promote women,Not selected,False
777,Managers want to hire and promote women,Managers want to hire and promote women,True
779,Managers want to hire and promote women,Not selected,False
781,Managers want to hire and promote women,Managers want to hire and promote women,True
786,Managers want to hire and promote women,Managers want to hire and promote women,True
788,Managers want to hire and promote women,Managers want to hire and promote women,True
793,Managers want to hire and promote women,Not selected,False
795,Managers want to hire and promote women,Not selected,False
796,Managers want to hire and promote women,Not selected,False
797,Managers want to hire and promote women,Not selected,False
798,Managers want to hire and promote women,Not selected,False
801,Managers want to hire and promote women,Not selected,False
802,Managers want to hire and promote women,Not selected,False
805,Managers want to hire and promote women,Managers want to hire and promote women,True
808,Managers want to hire and promote women,Not selected,False
811,Managers want to hire and promote women,Not selected,False
812,Managers want to hire and promote women,Not selected,False
814,Managers want to hire and promote women,Managers want to hire and promote women,True
816,Managers want to hire and promote women,Not selected,False
818,Managers want to hire and promote women,Not selected,False
821,Managers want to hire and promote women,Not selected,False
824,Managers want to hire and promote women,Not selected,False
825,Managers want to hire and promote women,Not selected,False
826,Managers want to hire and promote women,Managers want to hire and promote women,True
835,Managers want to hire and promote women,Not selected,False
837,Managers want to hire and promote women,Managers want to hire and promote women,True
838,Managers want to hire and promote women,Not selected,False
839,Managers want to hire and promote women,Not selected,False
842,Managers want to hire and promote women,Managers want to hire and promote women,True
847,Managers want to hire and promote women,Not selected,False
852,Managers want to hire and promote women,Not selected,False
853,Managers want to hire and promote women,Not selected,False
857,Managers want to hire and promote women,Not selected,False
858,Managers want to hire and promote women,Not selected,False
860,Managers want to hire and promote women,Not selected,False
862,Managers want to hire and promote women,Not selected,False
863,Managers want to hire and promote women,Not selected,False
866,Managers want to hire and promote women,Not selected,False
867,Managers want to hire and promote women,Not selected,False
868,Managers want to hire and promote women,Not selected,False
869,Managers want to hire and promote women,Not selected,False
873,Managers want to hire and promote women,Managers want to hire and promote women,True
879,Managers want to hire and promote women,Not selected,False
880,Managers want to hire and promote women,Not selected,False
881,Managers want to hire and promote women,Not selected,False
887,Managers want to hire and promote women,Not selected,False
891,Managers want to hire and promote women,Not selected,False
896,Managers want to hire and promote women,Not selected,False
899,Managers want to hire and promote women,Not selected,False
903,Managers want to hire and promote women,Not selected,False
904,Managers want to hire and promote women,Not selected,False
908,Managers want to hire and promote women,Not selected,False
909,Managers want to hire and promote women,Managers want to hire and promote women,True
910,Managers want to hire and promote women,Managers want to hire and promote women,True
913,Managers want to hire and promote women,Not selected,False
914,Managers want to hire and promote women,Managers want to hire and promote women,True
915,Managers want to hire and promote women,Not selected,False
917,Managers want to hire and promote women,Not selected,False
918,Managers want to hire and promote women,Not selected,False
920,Managers want to hire and promote women,Not selected,False
921,Managers want to hire and promote women,Not selected,False
922,Managers want to hire and promote women,Managers want to hire and promote women,True
923,Managers want to hire and promote women,Not selected,False
924,Managers want to hire and promote women,Not selected,False
926,Managers want to hire and promote women,Managers want to hire and promote women,True
929,Managers want to hire and promote women,Not selected,False
931,Managers want to hire and promote women,Managers want to hire and promote women,True
933,Managers want to hire and promote women,Not selected,False
937,Managers want to hire and promote women,Not selected,False
938,Managers want to hire and promote women,Not selected,False
939,Managers want to hire and promote women,Not selected,False
940,Managers want to hire and promote women,Not selected,False
942,Managers want to hire and promote women,Not selected,False
945,Managers want to hire and promote women,Not selected,False
946,Managers want to hire and promote women,Not selected,False
949,Managers want to hire and promote women,Not selected,False
951,Managers want to hire and promote women,Not selected,False
952,Managers want to hire and promote women,Not selected,False
954,Managers want to hire and promote women,Not selected,False
959,Managers want to hire and promote women,Not selected,False
960,Managers want to hire and promote women,Not selected,False
961,Managers want to hire and promote women,Not selected,False
963,Managers want to hire and promote women,Not selected,False
966,Managers want to hire and promote women,Managers want to hire and promote women,True
967,Managers want to hire and promote women,Not selected,False
968,Managers want to hire and promote women,Not selected,False
971,Managers want to hire and promote women,Managers want to hire and promote women,True
974,Managers want to hire and promote women,Not selected,False
977,Managers want to hire and promote women,Not selected,False
978,Managers want to hire and promote women,Not selected,False
980,Managers want to hire and promote women,Not selected,False
984,Managers want to hire and promote women,Not selected,False
985,Managers want to hire and promote women,Not selected,False
986,Managers want to hire and promote women,Not selected,False
987,Managers want to hire and promote women,Not selected,False
988,Managers want to hire and promote women,Managers want to hire and promote women,True
989,Managers want to hire and promote women,Not selected,False
993,Managers want to hire and promote women,Not selected,False
995,Managers want to hire and promote women,Not selected,False
996,Managers want to hire and promote women,Not selected,False
999,Managers want to hire and promote women,Not selected,False
1000,Managers want to hire and promote women,Managers want to hire and promote women,True
1001,Managers want to hire and promote women,Not selected,False
1003,Managers want to hire and promote women,Not selected,False
1004,Managers want to hire and promote women,Not selected,False
1006,Managers want to hire and promote women,Not selected,False
1008,Managers want to hire and promote women,Not selected,False
1010,Managers want to hire and promote women,Not selected,False
1011,Managers want to hire and promote women,Not selected,False
1012,Managers want to hire and promote women,Not selected,False
1013,Managers want to hire and promote women,Managers want to hire and promote women,True
1015,Managers want to hire and promote women,Not selected,False
1017,Managers want to hire and promote women,Not selected,False
1022,Managers want to hire and promote women,Not selected,False
1025,Managers want to hire and promote women,Not selected,False
1026,Managers want to hire and promote women,Not selected,False
1029,Managers want to hire and promote women,Not selected,False
1030,Managers want to hire and promote women,Not selected,False
1033,Managers want to hire and promote women,Not selected,False
1034,Managers want to hire and promote women,Not selected,False
1035,Managers want to hire and promote women,Not selected,False
1047,Managers want to hire and promote women,Managers want to hire and promote women,True
1051,Managers want to hire and promote women,Not selected,False
1052,Managers want to hire and promote women,Not selected,False
1053,Managers want to hire and promote women,Not selected,False
1055,Managers want to hire and promote women,Not selected,False
1058,Managers want to hire and promote women,Not selected,False
1060,Managers want to hire and promote women,Not selected,False
1064,Managers want to hire and promote women,Not selected,False
1065,Managers want to hire and promote women,Not selected,False
1066,Managers want to hire and promote women,Not selected,False
1067,Managers want to hire and promote women,Managers want to hire and promote women,True
1068,Managers want to hire and promote women,Not selected,False
1070,Managers want to hire and promote women,Not selected,False
1072,Managers want to hire and promote women,Not selected,False
1073,Managers want to hire and promote women,Not selected,False
1075,Managers want to hire and promote women,Not selected,False
1077,Managers want to hire and promote women,Managers want to hire and promote women,True
1078,Managers want to hire and promote women,Not selected,False
1080,Managers want to hire and promote women,Not selected,False
1083,Managers want to hire and promote women,Not selected,False
1084,Managers want to hire and promote women,Not selected,False
1086,Managers want to hire and promote women,Not selected,False
1088,Managers want to hire and promote women,Not selected,False
1089,Managers want to hire and promote women,Managers want to hire and promote women,True
1092,Managers want to hire and promote women,Managers want to hire and promote women,True
1096,Managers want to hire and promote women,Not selected,False
1098,Managers want to hire and promote women,Not selected,False
1099,Managers want to hire and promote women,Not selected,False
1103,Managers want to hire and promote women,Not selected,False
1104,Managers want to hire and promote women,Managers want to hire and promote women,True
1105,Managers want to hire and promote women,Managers want to hire and promote women,True
1106,Managers want to hire and promote women,Not selected,False
1107,Managers want to hire and promote women,Not selected,False
1108,Managers want to hire and promote women,Not selected,False
1109,Managers want to hire and promote women,Not selected,False
1111,Managers want to hire and promote women,Managers want to hire and promote women,True
1112,Managers want to hire and promote women,Not selected,False
1115,Managers want to hire and promote women,Not selected,False
1116,Managers want to hire and promote women,Not selected,False
1120,Managers want to hire and promote women,Not selected,False
1121,Managers want to hire and promote women,Not selected,False
1123,Managers want to hire and promote women,Not selected,False
1124,Managers want to hire and promote women,Not selected,False
1127,Managers want to hire and promote women,Managers want to hire and promote women,True
1129,Managers want to hire and promote women,Not selected,False
1131,Managers want to hire and promote women,Not selected,False
1133,Managers want to hire and promote women,Not selected,False
1134,Managers want to hire and promote women,Not selected,False
1137,Managers want to hire and promote women,Not selected,False
1138,Managers want to hire and promote women,Managers want to hire and promote women,True
1141,Managers want to hire and promote women,Not selected,False
1143,Managers want to hire and promote women,Not selected,False
1145,Managers want to hire and promote women,Not selected,False
1146,Managers want to hire and promote women,Managers want to hire and promote women,True
1150,Managers want to hire and promote women,Not selected,False
1151,Managers want to hire and promote women,Not selected,False
1153,Managers want to hire and promote women,Not selected,False
1155,Managers want to hire and promote women,Not selected,False
1156,Managers want to hire and promote women,Not selected,False
1157,Managers want to hire and promote women,Not selected,False
1158,Managers want to hire and promote women,Not selected,False
1161,Managers want to hire and promote women,Not selected,False
1162,Managers want to hire and promote women,Not selected,False
1163,Managers want to hire and promote women,Not selected,False
1164,Managers want to hire and promote women,Not selected,False
1166,Managers want to hire and promote women,Not selected,False
1171,Managers want to hire and promote women,Not selected,False
1173,Managers want to hire and promote women,Not selected,False
1174,Managers want to hire and promote women,Not selected,False
1180,Managers want to hire and promote women,Not selected,False
1182,Managers want to hire and promote women,Not selected,False
1183,Managers want to hire and promote women,Not selected,False
1184,Managers want to hire and promote women,Not selected,False
1185,Managers want to hire and promote women,Not selected,False
1187,Managers want to hire and promote women,Not selected,False
1189,Managers want to hire and promote women,Not selected,False
1190,Managers want to hire and promote women,Not selected,False
1191,Managers want to hire and promote women,Not selected,False
1192,Managers want to hire and promote women,Not selected,False
1195,Managers want to hire and promote women,Not selected,False
1196,Managers want to hire and promote women,Not selected,False
1197,Managers want to hire and promote women,Not selected,False
1198,Managers want to hire and promote women,Not selected,False
1199,Managers want to hire and promote women,Not selected,False
1200,Managers want to hire and promote women,Managers want to hire and promote women,True
1201,Managers want to hire and promote women,Not selected,False
1202,Managers want to hire and promote women,Not selected,False
1203,Managers want to hire and promote women,Managers want to hire and promote women,True
1204,Managers want to hire and promote women,Not selected,False
1208,Managers want to hire and promote women,Not selected,False
1209,Managers want to hire and promote women,Not selected,False
1211,Managers want to hire and promote women,Not selected,False
1212,Managers want to hire and promote women,Not selected,False
1215,Managers want to hire and promote women,Not selected,False
1217,Managers want to hire and promote women,Not selected,False
1218,Managers want to hire and promote women,Not selected,False
1219,Managers want to hire and promote women,Not selected,False
1222,Managers want to hire and promote women,Not selected,False
1223,Managers want to hire and promote women,Not selected,False
1224,Managers want to hire and promote women,Not selected,False
1225,Managers want to hire and promote women,Not selected,False
1228,Managers want to hire and promote women,Not selected,False
1230,Managers want to hire and promote women,Not selected,False
1231,Managers want to hire and promote women,Not selected,False
1232,Managers want to hire and promote women,Managers want to hire and promote women,True
1234,Managers want to hire and promote women,Not selected,False
1235,Managers want to hire and promote women,Not selected,False
1237,Managers want to hire and promote women,Not selected,False
1238,Managers want to hire and promote women,Managers want to hire and promote women,True
1239,Managers want to hire and promote women,Not selected,False
1240,Managers want to hire and promote women,Not selected,False
1241,Managers want to hire and promote women,Not selected,False
1243,Managers want to hire and promote women,Not selected,False
1244,Managers want to hire and promote women,Not selected,False
1245,Managers want to hire and promote women,Not selected,False
1246,Managers want to hire and promote women,Not selected,False
1247,Managers want to hire and promote women,Managers want to hire and promote women,True
1249,Managers want to hire and promote women,Not selected,False
